이수과정,단과대학,소속학과,복수전공/부전공,학번,관심취미,학술 행사의 선호도,공연/축제 행사의 선호도,관심 있는 축제(학술행사),관심 있는 축제(공연행사),가장 최근에 참여한 행사
학부생,경제학부,경제학전공,없음,23,"음악, 예술 및 공예, 영화 및 TV 시리즈, 독서, 요리",3,4,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",2023 인문X사회X자전 연합축제: You in 샤
학부생,공과대학,컴퓨터공학부,없음,18,"스포츠, 음악, 독서",3,4,"삼성 파운드리의 현재와 미래, 의료데이터 활용을 위한 연구검색 솔루션","SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 자연대 가을 축제 <You, Science?>, 혼성 댄스 동아리 혼또니 정기공연, ECU (Evangelical Christian Union) 치킨파티",
학부생,사회과학대학,사회학과,없음,23,영화 및 TV 시리즈,2,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 2023 진로특강 시리즈_졸업하면 뭐할래? (9월 특강)","중앙도서관 별빛 영화제, 2023 인문X사회X자전 연합축제: You in 샤",서울대 전체 축제
학부생,자연과학대학,물리천문학부(물리학 전공),컴퓨터공학부,18,"스포츠, 음악, 예술 및 공예, 여행",3,4,"수리과학부 강연 (주제: 작용소대수와 양자정보이론), ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots, 수학기반산업데이터해석연구센터 콜로키엄","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",SNUPO 60회 정기공연
학부생,자유전공학부,자유전공학부,컴퓨터공학부/통계학과,19,"음악, 게임, 여행, 운동",1,3,"Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","2023 인문X사회X자전 연합축제: You in 샤, 2023 자연대 가을 축제 <You, Science?>, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 응생화 X 생과부일일호프",서울대 축제
학부생,경제학부,경제학 심화전공,없음,18,"스포츠, 음악, 주식",4,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래, 의료데이터 활용을 위한 연구검색 솔루션","혼성 댄스 동아리 혼또니 정기공연, 2023 GoAheaD 9월 정기공연",경영대 학술교류
학부생,경영대,경영,없음,21,"스포츠, 음악, 예술 및 공예, 영화 및 TV 시리즈, 독서, 요리, 게임, 여행",1,5,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots, 의료데이터 활용을 위한 연구검색 솔루션","2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 응생화 X 생과부일일호프",smic 1주차 세션
학부생,사회과학대학,사회학과,경영학사,21,스포츠,1,5,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 GoAheaD 9월 정기공연",없음
학부생,경영,경영,없음,18,스포츠,2,1,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots, 의료데이터 활용을 위한 연구검색 솔루션","중앙도서관 별빛 영화제, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",
학부생,여성심리학부,연애학과,없음,18,연애,1,1,"삼성 파운드리의 현재와 미래, 의료데이터 활용을 위한 연구검색 솔루션","응생화🧪 X 생과부🧬 일일호프, 2023 GoAheaD 9월 정기공연",일일호프
학부생,공과대학,컴퓨터공학부,없음,19,"음악, 요리, 게임",1,3,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 인문X사회X자전 연합축제: You in 샤, 2023 자연대 가을 축제 <You, Science?>, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 응생화 X 생과부일일호프, 혼성 댄스 동아리 혼또니 정기공연, 2023 GoAheaD 9월 정기공연",서울대학교 축제
학부생,사회과학대학,경제학부,없음,16 이하,"스포츠, 영화 및 TV 시리즈, 게임, 여행",1,2,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","2023 자연대 가을 축제 <You, Science?>, 2023 GoAheaD 9월 정기공연",없음
학부생,자유전공,"경제, 컴퓨터공학",없음,19,"스포츠, 음악, 여행, 사진",2,4,"Transparency of AI: The Best Practices of Dealing with Social Bots, 수학기반산업데이터해석연구센터 콜로키엄","2023 인문X사회X자전 연합축제: You in 샤, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",
학부생,농업생명과학대학,식물생산과학부,경영학,18,"스포츠, 음악",2,4,"삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots","2023 인문X사회X자전 연합축제: You in 샤, 2023 자연대 가을 축제 <You, Science?>, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 응생화 X 생과부일일호프, 혼성 댄스 동아리 혼또니 정기공연, 2023 GoAheaD 9월 정기공연",서울대학교 축제
학부생,인문대,서어서문학과,경제,20,"음악, 예술 및 공예, 영화 및 TV 시리즈, 여행",1,3,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","2023 인문X사회X자전 연합축제: You in 샤, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",
학부생,경영대학,경영학과,없음,20,"스포츠, 음악, 독서",2,2,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 혼성 댄스 동아리 혼또니 정기공연, 2023 GoAheaD 9월 정기공연",없음
학부생,경영대,경영학과,없음,19,"스포츠, 음악, 영화 및 TV 시리즈, 게임",3,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","중앙도서관 별빛 영화제, 2023 인문X사회X자전 연합축제: You in 샤, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",없음
학부생,경영대학,경영학과,수학,18,스포츠,3,4,"수리과학부 강연 (주제: 작용소대수와 양자정보이론), 뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","중앙도서관 별빛 영화제, 응생화 X 생과부일일호프",없음
학부생,농업생명과학대학,농경제사회학부 자원경제학 전공,기술경영,20,"스포츠, 음악, 친구들이랑 놀기",3,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","중앙도서관 별빛 영화제, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 응생화 X 생과부일일호프, 혼성 댄스 동아리 혼또니 정기공연",서울대학교 축제
학부생,경영대학,경영학과,없음,17,"스포츠, 영화 및 TV 시리즈, 게임, 여행",3,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 자연대 가을 축제 <You, Science?>, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 혼성 댄스 동아리 혼또니 정기공연, 2023 GoAheaD 9월 정기공연",
학부생,공과대학,컴퓨터공학부,없음,19,"영화 및 TV 시리즈, 게임",2,4,"삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",캄퓨터공학주 교외교육 컴씨
학부생,인문대학,노어노문학과,기술경영학,19,"스포츠, 음악, 영화 및 TV 시리즈, 독서, 여행",4,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","2023 인문X사회X자전 연합축제: You in 샤, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",없음
학부생,디자인학부,디자인과,영상매체예술 연합전공,20,"음악, 예술 및 공예, 영화 및 TV 시리즈",2,3,"2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼","2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 혼성 댄스 동아리 혼또니 정기공연, 2023 GoAheaD 9월 정기공연",동아리 연극 공연
학부생,자연과학대학,생명과학,경영,17,"스포츠, 음악, 예술 및 공예, 영화 및 TV 시리즈, 독서, 게임, 여행",4,5,"2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","2023 인문X사회X자전 연합축제: You in 샤, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 응생화 X 생과부일일호프",없음
학부생,공과대학,컴퓨터공학,없음,23,"스포츠, 음악, 영화 및 TV 시리즈, 게임, 여행",2,4,"2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","2023 인문X사회X자전 연합축제: You in 샤, 2023 자연대 가을 축제 <You, Science?>, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",
학부생,미술대학,디자인과,정보문화학,20,"음악, 예술 및 공예, 영화 및 TV 시리즈, 독서",2,3,"2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines","2023 인문X사회X자전 연합축제: You in 샤, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",인문대축제 폐막제
학부생,미술대학,디자인전공,경영학,20,"예술 및 공예, 독서",4,3,"2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, ECU (Evangelical Christian Union) 치킨파티",서울대 가을 축제 
학부생,공과대학,컴퓨터공학부,벤처경영연합전공,19,"스포츠, 음악, 예술 및 공예, 영화 및 TV 시리즈, 독서, 요리, 게임, 여행",1,2,"2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), 삼성 파운드리의 현재와 미래, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, 2023 자연대 가을 축제 <You, Science?>",강감찬축제
학부생,자유전공학부,자유전공,"컴퓨터공학, 심리학",18,"예술 및 공예, 영화 및 TV 시리즈, 독서, 요리, 여행",2,4,"Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots, 의료데이터 활용을 위한 연구검색 솔루션","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 인문X사회X자전 연합축제: You in 샤, 혼성 댄스 동아리 혼또니 정기공연, 2023 GoAheaD 9월 정기공연",서울대 축제
학부생,물리천문학부,물리학전공,없음,18,"스포츠, 음악, 영화 및 TV 시리즈, 독서, 여행",4,2,"수리과학부 강연 (주제: 작용소대수와 양자정보이론), 삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",
학부생,사회과학대학 경제학부,경제학부,없음,23,스포츠,4,3,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 삼성 파운드리의 현재와 미래","2023 인문X사회X자전 연합축제: You in 샤, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",인문 사회 자전 연합축제 You in 샤
