Index,userIdx,Recommend1,Recommend2,Recommend3,Recommend4,Recommend5,Recommend6,Recommend7,Recommend8,Recommend9,Recommend10
1,2,233,224,221,205,225,202,223,226,222,209
2,3,223,202,205,225,233,221,224,207,209,222
3,4,223,202,205,225,233,221,224,207,209,222
4,5,207,209,222,226,223,202,225,205,233,221
5,6,223,207,209,202,205,221,222,225,224,233
6,7,207,209,222,226,223,202,205,225,233,221
7,8,207,209,222,226,223,202,205,225,233,221
8,9,223,207,209,202,205,222,225,233,221,224
9,10,207,209,222,226,223,202,205,225,233,221
10,11,223,202,225,205,221,233,224,207,209,222
11,12,207,209,222,226,223,202,205,233,225,221
12,13,223,207,209,202,205,222,225,221,233,224
13,14,223,202,205,225,233,221,224,207,209,222
14,15,233,202,222,223,207,209,205,225,221,224
15,16,202,223,205,225,233,221,224,222,207,209
16,17,223,202,205,225,221,233,224,207,209,222
17,18,207,209,222,226,223,202,205,225,233,221
18,19,223,202,205,225,221,233,224,207,209,222
19,20,202,223,205,225,233,221,224,207,222,209
20,21,223,202,205,225,221,233,224,207,209,222
21,22,223,207,209,205,202,222,225,221,233,224
22,23,202,223,205,225,233,221,224,222,207,209
23,24,223,207,209,202,205,222,225,233,221,224
24,25,223,207,209,202,205,222,225,233,221,224
25,26,202,223,205,225,233,221,224,222,207,209
26,27,202,223,222,207,209,205,225,233,221,224
27,28,207,209,222,226,223,202,205,225,221,233
28,29,223,202,205,225,233,221,224,207,209,222
29,30,207,209,222,226,223,202,205,225,233,221
30,31,223,207,209,202,222,205,225,233,221,224
31,32,205,223,202,225,233,221,224,207,209,222
32,33,207,209,222,226,223,202,205,225,233,221
33,34,205,202,223,225,233,221,224,209,207,222
34,35,223,202,205,225,233,221,224,207,209,222
35,36,223,202,205,225,233,221,224,207,209,222
36,37,202,223,205,225,233,221,224,222,207,209
37,38,222,209,226,207,233,205,221,224,225,202
38,39,207,209,222,226,223,202,225,205,233,221
39,40,207,209,222,226,223,202,205,225,233,221
40,41,205,223,207,209,202,222,225,233,221,224
41,42,207,209,222,226,223,202,205,225,233,221
42,43,223,207,209,202,205,225,222,233,221,224
43,44,223,202,205,225,233,221,224,207,209,222
44,45,205,223,202,225,233,221,224,209,207,222
45,46,223,202,205,225,233,221,224,207,209,222
46,47,223,202,205,225,233,221,224,207,209,222
47,48,223,207,209,202,205,222,225,233,221,224
48,49,223,207,209,202,205,222,225,233,221,224
49,144,233,226,221,205,222,224,225,202,209,207
