post_id,구분,행사명,날짜,장소,주최자,내용
202,공연,1234,2023-11-20,자하연 앞,경제학부,하이
222,학술,777777,2023-11-20,ㄱㄱ,경제학부,ㄱㄱㄱㄱ
225,공연,asdf,2023-11-11,somewhere,경제학부,yoyo
233,공연,some post,2023-11-15,asdf,경제학부,asdf
205,공연,가가가가,2023-11-22,티티,경제학부,티티
207,학술,마지막,2023-11-19,제발,경제학부,비자오우아오누내ㅓ류강
209,학술,303030,2023-11-19,아너,경제학부,너어ㅓㅇ
223,공연,102938747589293737,2023-11-19,ㅣ기기기각,경제학부,오죠ㅑ쥬댣6ㄷ7ㅈ8ㅈ8181717
224,공연,00000000000000000,2023-11-19,00,경제학부,00
226,학술,ㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣ,2023-11-19,ㅣㅣ,경제학부,ㅣㅣ
221,공연,ㅡㅡㅡㅡㅡㅡㅡㅡ,2023-11-19,ㅇㄷ,경제학부,ㄷㄷㄷ
