,score,postIdx,userIdx
0,1,233,2
1,2,224,2
2,3,221,2
3,4,205,2
4,5,225,2
5,6,202,2
6,7,223,2
7,8,226,2
8,9,222,2
9,10,209,2
10,1,223,3
11,2,202,3
12,3,205,3
13,4,225,3
14,5,233,3
15,6,221,3
16,7,224,3
17,8,207,3
18,9,209,3
19,10,222,3
20,1,223,4
21,2,202,4
22,3,205,4
23,4,225,4
24,5,233,4
25,6,221,4
26,7,224,4
27,8,207,4
28,9,209,4
29,10,222,4
30,1,207,5
31,2,209,5
32,3,222,5
33,4,226,5
34,5,223,5
35,6,202,5
36,7,225,5
37,8,205,5
38,9,233,5
39,10,221,5
40,1,223,6
41,2,207,6
42,3,209,6
43,4,202,6
44,5,205,6
45,6,221,6
46,7,222,6
47,8,225,6
48,9,224,6
49,10,233,6
50,1,207,7
51,2,209,7
52,3,222,7
53,4,226,7
54,5,223,7
55,6,202,7
56,7,205,7
57,8,225,7
58,9,233,7
59,10,221,7
60,1,207,8
61,2,209,8
62,3,222,8
63,4,226,8
64,5,223,8
65,6,202,8
66,7,205,8
67,8,225,8
68,9,233,8
69,10,221,8
70,1,223,9
71,2,207,9
72,3,209,9
73,4,202,9
74,5,205,9
75,6,222,9
76,7,225,9
77,8,233,9
78,9,221,9
79,10,224,9
80,1,207,10
81,2,209,10
82,3,222,10
83,4,226,10
84,5,223,10
85,6,202,10
86,7,205,10
87,8,225,10
88,9,233,10
89,10,221,10
90,1,223,11
91,2,202,11
92,3,225,11
93,4,205,11
94,5,221,11
95,6,233,11
96,7,224,11
97,8,207,11
98,9,209,11
99,10,222,11
100,1,207,12
101,2,209,12
102,3,222,12
103,4,226,12
104,5,223,12
105,6,202,12
106,7,205,12
107,8,233,12
108,9,225,12
109,10,221,12
110,1,223,13
111,2,207,13
112,3,209,13
113,4,202,13
114,5,205,13
115,6,222,13
116,7,225,13
117,8,221,13
118,9,233,13
119,10,224,13
120,1,223,14
121,2,202,14
122,3,205,14
123,4,225,14
124,5,233,14
125,6,221,14
126,7,224,14
127,8,207,14
128,9,209,14
129,10,222,14
130,1,233,15
131,2,202,15
132,3,222,15
133,4,223,15
134,5,207,15
135,6,209,15
136,7,205,15
137,8,225,15
138,9,221,15
139,10,224,15
140,1,202,16
141,2,223,16
142,3,205,16
143,4,225,16
144,5,233,16
145,6,221,16
146,7,224,16
147,8,222,16
148,9,207,16
149,10,209,16
150,1,223,17
151,2,202,17
152,3,205,17
153,4,225,17
154,5,221,17
155,6,233,17
156,7,224,17
157,8,207,17
158,9,209,17
159,10,222,17
160,1,207,18
161,2,209,18
162,3,222,18
163,4,226,18
164,5,223,18
165,6,202,18
166,7,205,18
167,8,225,18
168,9,233,18
169,10,221,18
170,1,223,19
171,2,202,19
172,3,205,19
173,4,225,19
174,5,221,19
175,6,233,19
176,7,224,19
177,8,207,19
178,9,209,19
179,10,222,19
180,1,202,20
181,2,223,20
182,3,205,20
183,4,225,20
184,5,233,20
185,6,221,20
186,7,224,20
187,8,207,20
188,9,222,20
189,10,209,20
190,1,223,21
191,2,202,21
192,3,205,21
193,4,225,21
194,5,221,21
195,6,233,21
196,7,224,21
197,8,207,21
198,9,209,21
199,10,222,21
200,1,223,22
201,2,207,22
202,3,209,22
203,4,205,22
204,5,202,22
205,6,222,22
206,7,225,22
207,8,221,22
208,9,233,22
209,10,224,22
210,1,202,23
211,2,223,23
212,3,205,23
213,4,225,23
214,5,233,23
215,6,221,23
216,7,224,23
217,8,222,23
218,9,207,23
219,10,209,23
220,1,223,24
221,2,207,24
222,3,209,24
223,4,202,24
224,5,205,24
225,6,222,24
226,7,225,24
227,8,233,24
228,9,221,24
229,10,224,24
230,1,223,25
231,2,207,25
232,3,209,25
233,4,202,25
234,5,205,25
