Index, Recommend1, Recommend2, Recommend3, Recommend4,Recommend5, Recommend6, Recommend7, Recommend8, Recommend9, Recommend10
1,2023 인문X사회X자전 연합축제: You in 샤,중앙도서관 별빛 영화제,음대 관현악과 정기연주회,국악과 축제,2023 독문극회 <물리학자들> 예매 안내,2023 자연대 가을 축제 <You Science?>,중앙도서관 북 콘서트,실내악 시리즈 III : Claude Bolling,SNU 그랜드 퀘스트 오픈 포럼 안내,2023 미대극회 114회 정기공연 (루나자에서 춤을)
2,ECU (Evangelical Christian Union) 치킨파티,혼성 댄스 동아리 혼또니 정기공연,2023 자연대 가을 축제 <You Science?>,국악과 축제,네비게이토 선교회 신입생 재학생 초청 모임,음대 관현악과 정기연주회,2023 미대극회 114회 정기공연 (루나자에서 춤을),2023 공과대학 가을축제: Fall in 공 안내,2023 단풍연 가을 판굿,2023 인문X사회X자전 연합축제: You in 샤
3,2023 인문X사회X자전 연합축제: You in 샤,실내악 시리즈 III : Claude Bolling,국악과 축제,히스×고어헤드×바운스팩토리 연합공연 36.5,중앙도서관 별빛 영화제,2023 독문극회 <물리학자들> 예매 안내,🍺서울대 🎨디자인X기계🛠️ 일일호프🍺,2023 화학부 가을 체육대회,서울대 무용부 공연,2023 미대극회 114회 정기공연 (루나자에서 춤을)
4,중앙 몸짓패동아리 골패 정기공연,중앙도서관 북 콘서트,SNUPO & SNUpia 하계 앙상블,중앙도서관 별빛 영화제,관허 코스모스홀 개관 기념식,음대 관현악과 정기연주회,국악과 축제,2023 자연대 가을 축제 <You Science?>,SNU 그랜드 퀘스트 오픈 포럼 안내,2023 서울대학교 예술주간 거리공연
5,헥토파스카 & 베루카 연합공연,2023 자연대 가을 축제 <You Science?>,2023 인문X사회X자전 연합축제: You in 샤,국악과 축제,2023 단풍연 가을 판굿,서울대 무용부 공연,히스×고어헤드×바운스팩토리 연합공연 36.5,2023 미대극회 114회 정기공연 (루나자에서 춤을),스누풀 SNUPOOL에서 2023-2 신입부원을 모집합니다!,2023 화학부 가을 체육대회
6,혼성 댄스 동아리 혼또니 정기공연,의료데이터 활용을 위한 연구검색 솔루션,네비게이토 선교회 신입생 재학생 초청 모임,뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,2023 미대극회 114회 정기공연 (루나자에서 춤을),삼성 파운드리의 현재와 미래,2023 GoAheaD 9월 정기공연,국악과 축제,중앙 몸짓패동아리 골패 정기공연,금융경제연구원 세미나
7,SNU_CAA 제1회 정기연합행사 : 연박싱,국악과 축제,향록 연극회 신입 공연,2023 미대극회 114회 정기공연 (루나자에서 춤을),서울대 무용부 공연,헥토파스카 & 베루카 연합공연,중앙기독교동아리 CCC 신입부원 모집,네비게이토 선교회 신입생 재학생 초청 모임,2023 단풍연 가을 판굿,2023 자연대 가을 축제 <You Science?>
8,음대 관현악과 정기연주회,국악과 축제,2023 GoAheaD 9월 정기공연,2023 미대극회 114회 정기공연 (루나자에서 춤을),향록 연극회 신입 공연,SNU 그랜드 퀘스트 오픈 포럼 안내,중앙 몸짓패동아리 골패 정기공연,서울대 무용부 공연,SNU_CAA 제1회 정기연합행사 : 연박싱,2023 화학부 가을 체육대회
9,인공지능의 투명성: 소셜 봇 대응의 최선의 방법,의료데이터 활용을 위한 연구검색 솔루션,2023 BCS 뇌의 기억과 행동 국제 심포지엄,뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,삼성 파운드리의 현재와 미래,최근 기계 학습의 발전된 알고리즘,신뢰할 수 있는 AI를 위한 확률적 추론 및 학습,온라인/오프라인에서의 정치 및 사회 경제적 분극에 ICT 활용하기,인종 차별과 건강할 권리,2023. 9. 14 콜로퀴움 (천문학 전공)
10,응생화 X 생과부 일일호프,🍺서울대 🎨디자인X기계🛠️ 일일호프🍺,서울대학교 방송 SUB 일일호프,물결의 일일호프,의료데이터 활용을 위한 연구검색 솔루션,삼성 파운드리의 현재와 미래,국악과 축제,연세대학교 상경·경영대학 학생회 Big Step 일일호프,2023 미대극회 114회 정기공연 (루나자에서 춤을),서울대학교 바시소X새날반 일일호프 새시봉
